TreeID,qSpecies,qAddress,qSiteInfo,DBH,PlotSize,Latitude,Longitude
19810,Araucaria heterophylla :: Norfolk Island Pine,100 STAIRWAY24,Sidewalk: Curb side : Cutout,12,100ST,,
818,Metrosideros excelsa :: New Zealand Xmas Tree,1385 45th Ave,Sidewalk: Curb side : Cutout,35,4x4,37.76077997,-122.5049559
9598,Maytenus boaria :: Mayten,1350 Golden Gate Ave,Sidewalk: Curb side : Cutout,12,3X3,37.77952223,-122.4328227
10157,Ligustrum lucidum :: Glossy Privet,995 Guerrero St,Sidewalk: Curb side : Cutout,12,3x3,37.75538672,-122.4230868
129605,Ligustrum lucidum :: Glossy Privet,2101 Van Ness Ave,Sidewalk: Curb side : Cutout,10,Width 4ft,37.79521682,-122.4234869
9421,Lophostemon confertus :: Brisbane Box,701X Golden Gate Ave,Sidewalk: Curb side : Cutout,12,3x3,37.78068259,-122.4225986
18021,Ficus retusa nitida :: Banyan Fig,2725 Pine St,Sidewalk: Curb side : Cutout,12,3X3,37.78692829,-122.4411281
230412,Magnolia grandiflora 'Saint Mary' :: Saint Mary Magnolia,310 Dolores St,Sidewalk: Curb side : Cutout,1,Width 6ft,37.76444354,-122.4265169
7957,Lophostemon confertus :: Brisbane Box,1800 Franklin St,Sidewalk: Curb side : Cutout,3,3X3,37.79121227,-122.4241023
3139,Platanus x hispanica :: Sycamore: London Plane,3320 California St,Sidewalk: Curb side : Cutout,16,3X3,37.78702505,-122.449325
244346,Pyrus calleryana :: Ornamental Pear,300 Octavia St,Sidewalk: Curb side : Cutout,4,Width 0ft,37.77495475,-122.424002
191854,Eucalyptus polyanthemos :: Silver Dollar Eucalyptus,573 10th St,Sidewalk: Property side : Yard,24,Width 6ft,37.76975967,-122.4088145
14553,Acacia melanoxylon :: Blackwood Acacia,875 Masonic Ave,Sidewalk: Curb side : Cutout,60,3X3,37.7732948,-122.4460669
244298,Prunus serrulata :: Ornamental Cherry,350 Octavia St,Sidewalk: Curb side : Cutout,6,Width 0ft,37.77537938,-122.424089
13664,Platanus x hispanica :: Sycamore: London Plane,648 Market St,Sidewalk: Curb side : Cutout,35,4x4,37.78842024,-122.4026637
229175,Lophostemon confertus :: Brisbane Box,795 Valencia St,Sidewalk: Curb side : Cutout,6,Width 3ft,37.76025139,-122.4213439
13824,Platanus x hispanica :: Sycamore: London Plane,964 Market St,Sidewalk: Curb side : Cutout,40,4x4,37.78300152,-122.40946
22941,Lophostemon confertus :: Brisbane Box,413 Valencia St,Sidewalk: Curb side : Cutout,6,3X3,37.76628857,-122.4219126
187139,Cupressus macrocarpa :: Monterey Cypress,2301 Sunset Blvd,Sidewalk: Property side : Yard,39,Width 0ft,37.74394743,-122.4947736
235603,Platanus x hispanica :: Sycamore: London Plane,715 Valencia St,Sidewalk: Curb side : Cutout,7,Width 3ft,37.76139446,-122.4214433
18096,Prunus serrulata :: Ornamental Cherry,3008 Pine St,Sidewalk: Curb side : Cutout,6,3X3,37.78648129,-122.4457707
3092,Platanus x hispanica :: Sycamore: London Plane,2980 California St,Sidewalk: Curb side : Cutout,12,3X3,37.78778281,-122.4434174
229176,Lophostemon confertus :: Brisbane Box,793 Valencia St,Sidewalk: Curb side : Cutout,2,Width 3ft,37.76030806,-122.421348
138112,Ficus retusa nitida :: Banyan Fig,1698 Sutter St,Sidewalk: Curb side : Cutout,17,Width 0ft,37.78681553,-122.4281831
251282,Callistemon viminalis :: Weeping Bottlebrush,1299x Hudson Ave,Sidewalk: Curb side : Cutout,,3x3,37.73457289,-122.3829062
11057,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1630 Hyde St,Sidewalk: Curb side : Cutout,70,3X3,37.7959337,-122.4183194
251275,Tristaniopsis laurina :: Swamp Myrtle,1175x Hudson Ave,Sidewalk: Curb side : Cutout,,3x3,37.73299911,-122.3816904
228559,Lophostemon confertus :: Brisbane Box,706 Valencia St,Sidewalk: Curb side : Cutout,7,Width 3ft,37.76144677,-122.421654
251280,Callistemon viminalis :: Weeping Bottlebrush,1275x Hudson Ave,Sidewalk: Curb side : Cutout,,3x3,37.73410745,-122.3826385
13004,Olea europaea 'Fruitless' :: Fruitless Olive,368 Lombard St,Sidewalk: Curb side : Cutout,3,4X4,37.80355227,-122.4076594
17856,Olea europaea :: Olive Tree,2121 Pine St,Sidewalk: Curb side : Cutout,10,3X3,37.78815656,-122.4313743
13887,Platanus x hispanica :: Sycamore: London Plane,1028 Market St,Sidewalk: Curb side : Cutout,12,4x4,37.78177887,-122.4110409
229177,Lophostemon confertus :: Brisbane Box,789 Valencia St,Sidewalk: Curb side : Cutout,5,Width 3ft,37.76038415,-122.4213511
13971,Platanus x hispanica :: Sycamore: London Plane,1150X Market St,Sidewalk: Curb side : Cutout,12,4x4,37.78051622,-122.4127333
236222,Platanus racemosa :: California Sycamore,758 Valencia St,Sidewalk: Curb side : Cutout,7,Width 3ft,37.76082565,-122.4216134
6932,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',500 Fell St,Sidewalk: Curb side : Cutout,12,3X3,37.77558208,-122.4262568
200971,Platanus x hispanica :: Sycamore: London Plane,1408 Market St,Sidewalk: Curb side : Cutout,5,Width 0ft,37.77639324,-122.4178752
200966,Platanus x hispanica :: Sycamore: London Plane,1438 Market St,Sidewalk: Curb side : Cutout,11,Width 0ft,37.77603552,-122.4183243
23112,Lophostemon confertus :: Brisbane Box,1448 Valencia St,Sidewalk: Curb side : Cutout,20,3X3,37.74967287,-122.4205497
18999,Olea europaea :: Olive Tree,3039 Sacramento St,Sidewalk: Curb side : Cutout,24,3x3,37.78863488,-122.4429622
200701,Magnolia grandiflora :: Southern Magnolia,1433 Mendell St,Sidewalk: Curb side : Cutout,1,Width 0ft,37.73416696,-122.3906965
10470,Lophostemon confertus :: Brisbane Box,1614 Haight St,Sidewalk: Curb side : Cutout,3,3x3,37.76980725,-122.4490235
14079,Platanus x hispanica :: Sycamore: London Plane,1420 Market St,Sidewalk: Curb side : Cutout,12,4X4,37.77616666,-122.4181558
200973,Platanus x hispanica :: Sycamore: London Plane,1416 Market St,Sidewalk: Curb side : Cutout,10,Width 0ft,37.77628748,-122.4181696
200974,Platanus x hispanica :: Sycamore: London Plane,1422 Market St,Sidewalk: Curb side : Cutout,10,Width 0ft,37.77628748,-122.4181696
85529,Eriobotrya deflexa :: Bronze Loquat,101 12th St,Sidewalk: Curb side : Cutout,6,3x3,37.7722678,-122.4179658
14085,Platanus x hispanica :: Sycamore: London Plane,1446 Market St,Sidewalk: Curb side : Cutout,12,4X4,37.7759917,-122.4183872
18680,Platanus x hispanica :: Sycamore: London Plane,150X Richardson Ave,Sidewalk: Curb side : Cutout,18,15X15TR,37.80011802,-122.4465241
4707,Lophostemon confertus :: Brisbane Box,968 Columbus Ave,Sidewalk: Curb side : Cutout,3,5x5,37.80323563,-122.4142547
5204,Platanus x hispanica :: Sycamore: London Plane,777 Divisadero St,Sidewalk: Curb side : Cutout,3,4X4,37.77654353,-122.4382278
18856,Corymbia ficifolia :: Red Flowering Gum,2201 Sacramento St,Sidewalk: Curb side : Cutout,12,3X3,37.79035632,-122.4293718
248942,Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,1500x Galvez Ave,Sidewalk: Curb side : Cutout,3,3x3,37.7396845,-122.3858514
13638,Platanus x hispanica :: Sycamore: London Plane,576 Market St,Sidewalk: Curb side : Cutout,20,4x4,37.78942421,-122.4013727
242524,Ulmus parvifolia :: Chinese Elm,1902 Folsom St,Sidewalk: Curb side : Cutout,7,Width 2ft,37.76678666,-122.4155537
15241,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1370 Mission St,Sidewalk: Curb side : Cutout,18,3X3,37.77568541,-122.4156658
240412,Rhamnus alaternus :: Italian Buckthorn,3420 Market St,:,7,Width 3ft,37.75696873,-122.4426783
229041,Lophostemon confertus :: Brisbane Box,1398 Church St,Sidewalk: Curb side : Cutout,10,Width 3ft,37.74861431,-122.4272451
2880,Platanus x hispanica :: Sycamore: London Plane,1477 California St,Sidewalk: Curb side : Cutout,45,3X3,37.79076343,-122.4185474
242532,Ulmus parvifolia :: Chinese Elm,2140 Folsom St,Sidewalk: Curb side : Cutout,7,Width 3ft,37.76295991,-122.4151889
251337,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',2230 Ocean Ave,Sidewalk: Curb side : Cutout,,3x3,37.72860499,-122.4677206
5214,Pyrus calleryana :: Ornamental Pear,835 Divisadero St,Sidewalk: Curb side : Cutout,3,3X3,37.77738593,-122.438388
251360,Ginkgo biloba :: Maidenhair Tree,301 07th St,Sidewalk: Curb side : Cutout,,3x3,37.77675057,-122.4075743
236224,Platanus racemosa :: California Sycamore,740 Valencia St,Sidewalk: Curb side : Cutout,7,Width 3ft,37.76103557,-122.4216212
230151,Magnolia grandiflora :: Southern Magnolia,583 Church St,Sidewalk: Curb side : Cutout,4,Width 3ft,37.76141849,-122.4282667
25708,Platanus x hispanica :: Sycamore: London Plane,586 06th St,Sidewalk: Curb side : Cutout,11,3X3,37.77504171,-122.4014473
24812,Pyrus calleryana :: Ornamental Pear,2425 Fillmore St,Sidewalk: Curb side : Cutout,5,3X3,37.79198791,-122.4345463
195045,Platanus x hispanica :: Sycamore: London Plane,312 06th St,:,10,Width 3ft,37.77833174,-122.4055655
7350,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',2239 Fillmore St,Sidewalk: Curb side : Cutout,12,3X3,37.79040336,-122.4342148
251373,Cupressus macrocarpa :: Monterey Cypress,401 Portola Dr,Median : Yard,,,37.7467166,-122.44633
231129,Maytenus boaria :: Mayten,821 14th St,Sidewalk: Curb side : Cutout,17,Width 3ft,37.76749294,-122.4318427
100816,Platanus x hispanica :: Sycamore: London Plane,261 06th St,Sidewalk: Curb side : Cutout,7,3x3,37.77911803,-122.4062134
14058,Platanus x hispanica :: Sycamore: London Plane,1390 Market St,Sidewalk: Curb side : Cutout,18,4X4,37.77744463,-122.416551
251369,Ficus nitida :: Laurel Fig,390 06th St,Sidewalk: Curb side : Cutout,,3x3,37.77733985,-122.4042567
221428,Acacia stenophylla :: Shoestring Acacia,100x Guerrero St,Median : Cutout,1,Width 3ft,37.76946741,-122.4245517
212187,Corymbia ficifolia :: Red Flowering Gum,720 Bosworth St,Sidewalk: Property side : Yard,16,,37.73387004,-122.4351527
216488,Corymbia ficifolia :: Red Flowering Gum,800x Bosworth St,Sidewalk: Curb side : Cutout,0,Width 3ft,37.73391608,-122.4360459
193091,Magnolia grandiflora :: Southern Magnolia,1395 Fairfax Ave,:,6,Width 3ft,37.74004643,-122.3851501
2190,Metrosideros excelsa :: New Zealand Xmas Tree,1055 Broderick St,Sidewalk: Curb side : Cutout,12,4X4,37.78016238,-122.4406235
5563,Myoporum laetum :: Myoporum,1000 Dolores St,Sidewalk: Curb side : Cutout,35,3,37.75333859,-122.425448
124177,Cupressus macrocarpa :: Monterey Cypress,8X Almaden Ct,Sidewalk: Property side : Yard,10,Width 9ft,37.7805761,-122.4578979
117001,::,1X Bernal Heights Blvd,Front Yard : Yard,,,,
6322,Tristania conferta ::,1864 Ellis St,Sidewalk: Curb side : Cutout,6,4X4,37.78184404,-122.437049
251399,Ficus microcarpa :: Chinese Banyan,841 Columbus Ave,Sidewalk: Curb side : Cutout,,3x3,37.80237373,-122.4132889
3094,Platanus x hispanica :: Sycamore: London Plane,3006 California St,Sidewalk: Curb side : Cutout,12,3X2,37.78771381,-122.4439514
15433,Ficus retusa nitida :: Banyan Fig,2135 Mission St,Sidewalk: Curb side : Cutout,18,4X4,37.76281801,-122.4193678
143018,Ficus retusa nitida :: Banyan Fig,404 LOMBARD ST,Sidewalk: Curb side : Cutout,20,Width 0ft,37.8034816,-122.4082643
13046,Ficus nitida :: Laurel Fig,534 Lombard St,Sidewalk: Curb side : Cutout,18,5x3,37.80320723,-122.4104133
13070,Olea europaea :: Olive Tree,630 Lombard St,Sidewalk: Curb side : Cutout,22,3x3,37.80303259,-122.4119031
27411,Schinus terebinthifolius :: Brazilian Pepper,2198 Fell St,Sidewalk: Curb side : Cutout,6,3X3,37.77205721,-122.4538698
141829,Pittosporum undulatum :: Victorian Box,1058 GOLDEN GATE AVE,Sidewalk: Curb side : Cutout,5,Width 0ft,37.78012135,-122.4281486
139734,Platanus x hispanica :: Sycamore: London Plane,1451 Geary Blvd,Sidewalk: Curb side : Cutout,15,Width 0ft,37.78489987,-122.4270154
229022,Lophostemon confertus :: Brisbane Box,383 Valencia St,Sidewalk: Curb side : Cutout,10,Width 3ft,37.76689055,-122.4219673
17847,Magnolia grandiflora :: Southern Magnolia,2082 Pine St,Sidewalk: Curb side : Cutout,12,3X3,37.78848438,-122.4300434
238894,Pyrus calleryana :: Ornamental Pear,1169 South Van Ness Ave,Sidewalk: Curb side : Cutout,3,Width 3ft,37.75446962,-122.4163486
200822,Tristania conferta ::,5266 03rd St,Sidewalk: Curb side : Cutout,4,Width 0ft,37.72978874,-122.3926005
22300,Pyrus calleryana :: Ornamental Pear,5000 03rd St,Sidewalk: Curb side : Cutout,3,3x3,37.73315858,-122.3914299
18283,Tristaniopsis laurina :: Swamp Myrtle,2000 Post St,Sidewalk: Curb side : Cutout,6,4X4,37.78499338,-122.4349314
97601,Pyrus calleryana :: Ornamental Pear,855 Divisadero St,Sidewalk: Curb side : Cutout,3,3x3,37.7775802,-122.4384351
200823,Tristania conferta ::,5286 03rd St,Sidewalk: Curb side : Cutout,4,Width 0ft,37.72960517,-122.3926691
2976,Platanus x hispanica :: Sycamore: London Plane,2187 California St,Sidewalk: Curb side : Cutout,45,3X2,37.78926151,-122.4302149
13179,Tristania conferta ::,1976 Lombard St,Sidewalk: Curb side : Cutout,14,3X3,37.80020217,-122.4340917
8248,Acer rubrum 'Armstrong' :: Armstrong Red Maple,1515 Galvez Ave,Sidewalk: Curb side : Cutout,3,3x3,37.73990157,-122.3865584
14837,Ulmus parvifolia :: Chinese Elm,1306 McAllister St,Sidewalk: Curb side : Cutout,3,3x3,37.77845572,-122.4336792
14582,Ginkgo biloba :: Maidenhair Tree,1157 Masonic Ave,Sidewalk: Curb side : Cutout,100,4X4,37.77051464,-122.4455056
200488,Lophostemon confertus :: Brisbane Box,2585 03rd St,Sidewalk: Curb side : Cutout,6,Width 4ft,37.75558064,-122.3878656
251423,Ulmus pumila :: Siberian Elm,2162 Alemany Blvd,Sidewalk: Curb side : Cutout,,3x3,37.71816461,-122.4421796
24631,Ginkgo biloba :: Maidenhair Tree,601 Divisadero St,Sidewalk: Curb side : Cutout,3,3X3,37.77523321,-122.4379605
23276,Platanus x hispanica :: Sycamore: London Plane,819 Van Ness Ave,Sidewalk: Curb side : Cutout,7,4x4,37.78322763,-122.4210775
177641,Metrosideros excelsa :: New Zealand Xmas Tree,5900 Mission St,Sidewalk: Curb side : Cutout,0,Width 4ft,37.7086587,-122.4533697
22619,Schinus terebinthifolius :: Brazilian Pepper,1107 Turk St,Sidewalk: Curb side : Cutout,25,3X3,37.78101829,-122.4275322
245468,Platanus x hispanica :: Sycamore: London Plane,3290 Mission St,Sidewalk: Curb side : Cutout,9,Width 0ft,37.74419258,-122.4209031
2333,Lophostemon confertus :: Brisbane Box,2321 Bryant St,Sidewalk: Curb side : Cutout,18,5X5,37.75721238,-122.4094395
7067,Tristania conferta ::,1600 Fell St,Sidewalk: Curb side : Cutout,3,3x3,37.77326959,-122.4444058
251443,Tristaniopsis laurina :: Swamp Myrtle,2700x San Jose Ave,Sidewalk: Curb side : Cutout,,Width 3ft,37.7144805,-122.4520109
251438,Cupressus macrocarpa :: Monterey Cypress,2501X Santiago St,Median : Yard,,,,
250070,Afrocarpus gracilior :: Fern Pine,399 Austin St,:,2,Width 3ft,37.78852363,-122.4251643
2952,Eriobotrya deflexa :: Bronze Loquat,2001 California St,Sidewalk: Curb side : Cutout,45,3X3,37.78944514,-122.4272929
241326,Pyrus calleryana 'Aristocrat' :: Aristocrat Callery Pear,395 South Van Ness Ave,Sidewalk: Curb side : Cutout,8,Width 3ft,37.76696779,-122.4175606
244318,Pyrus kawakamii :: Evergreen Pear,331 Octavia St,Sidewalk: Curb side : Cutout,3,Width 0ft,37.77545479,-122.4244749
14853,Pittosporum undulatum :: Victorian Box,1351 McAllister St,Sidewalk: Curb side : Cutout,3,3x3,37.77824033,-122.4342298
13143,Ficus retusa nitida :: Banyan Fig,1800 Lombard St,Sidewalk: Curb side : Cutout,100,3X3,37.80054663,-122.4314048
251461,Metrosideros excelsa :: New Zealand Xmas Tree,6400 Geary Blvd,Sidewalk: Curb side : Cutout,,3x3,37.7800074,-122.4879413
19194,Lophostemon confertus :: Brisbane Box,150 Sanchez St,Median : Cutout,25,3X3,37.76682299,-122.4311163
17806,Eucalyptus sideroxylon :: Red Ironbark,1881 Pine St,Sidewalk: Curb side : Cutout,24,3x3,37.78874846,-122.426866
14734,Maytenus boaria :: Mayten,895 McAllister St,Sidewalk: Curb side : Cutout,8,4x4,37.77921374,-122.4265292
2939,Platanus x hispanica :: Sycamore: London Plane,1910 California St,Sidewalk: Curb side : Cutout,35,4x4,37.78997452,-122.4261397
218199,Platanus x hispanica :: Sycamore: London Plane,819 Ulloa St,:,13,Width 3ft,37.74071424,-122.4655968
172952,Acacia melanoxylon :: Blackwood Acacia,3000X Van Ness Ave,Sidewalk: Curb side : Cutout,0,Width 3ft,37.80344255,-122.4249873
251471,Brugmansia spp :: Angel trumpet,2423 Market St,Front Yard : Yard,,,,
11089,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1900 Hyde St,Sidewalk: Curb side : Cutout,70,3X3,37.7983882,-122.4187981
12282,Tristania conferta ::,745 Laguna St,Sidewalk: Curb side : Cutout,18,5x10,37.77813416,-122.426688
119793,Ulmus parvifolia :: Chinese Elm,201x Octavia St,Median : Cutout,,,47.26999691,-138.2807169
119828,Ulmus parvifolia :: Chinese Elm,301x Octavia St,Median : Cutout,,,47.27004703,-138.2793038
14441,Myoporum laetum :: Myoporum,57 Masonic Ave,Sidewalk: Curb side : Cutout,100,4X4,37.78148277,-122.4477486
23334,Platanus x hispanica :: Sycamore: London Plane,1200 Van Ness Ave,Sidewalk: Curb side : Cutout,10,3X3,37.78677192,-122.4214104
119736,Ulmus parvifolia :: Chinese Elm,101x Octavia St,Median : Cutout,,,47.26995107,-138.2820341
3124,Platanus x hispanica :: Sycamore: London Plane,3200 California St,Sidewalk: Curb side : Cutout,18,3X3,37.78726018,-122.4475291
242526,Ulmus parvifolia :: Chinese Elm,1922 Folsom St,Sidewalk: Curb side : Cutout,7,Width 2ft,37.76653527,-122.4155275
6073,Metrosideros excelsa :: New Zealand Xmas Tree,1944 Eddy St,Sidewalk: Curb side : Cutout,12,3X3,37.78055288,-122.4397297
13128,Tristania conferta ::,1714 Lombard St,Sidewalk: Curb side : Cutout,40,3X3,37.80073744,-122.4298507
237914,Ceratonia siliqua :: Carob,1001 Stanyan St,Sidewalk: Curb side : Cutout,21,Width 4ft,37.76540378,-122.4528231
3161,Platanus x hispanica :: Sycamore: London Plane,3445 California St,Sidewalk: Curb side : Cutout,45,3X3,37.78660671,-122.4508907
242525,Ulmus parvifolia :: Chinese Elm,1916 Folsom St,Sidewalk: Curb side : Cutout,7,Width 2ft,37.76660361,-122.4155336
18523,Magnolia grandiflora :: Southern Magnolia,1751X Powell St,Sidewalk: Curb side : Cutout,18,4X4,37.80105039,-122.4110385
221739,Pittosporum undulatum :: Victorian Box,960 Stanyan St,Sidewalk: Curb side : Cutout,18,Width 3ft,37.76556521,-122.4527094
18055,Ulmus parvifolia :: Chinese Elm,2872 Pine St,Sidewalk: Curb side : Cutout,12,3X3,37.78681821,-122.4431225
251482,Pinus radiata :: Monterey Pine,900 Bosworth St,Front Yard : Yard,,,37.73413484,-122.4367067
131895,Olea europaea :: Olive Tree,3274 Sacramento St,Sidewalk: Curb side : Cutout,16,Width 4ft,37.78850966,-122.4465912
3043,Platanus x hispanica :: Sycamore: London Plane,2669 California St,Sidewalk: Curb side : Cutout,14,3x3,37.78826626,-122.4382147
6921,Olea europaea :: Olive Tree,425 Fell St,Sidewalk: Curb side : Cutout,3,3X3,37.7756164,-122.4248576
245226,Acacia melanoxylon :: Blackwood Acacia,451 Fell St,Sidewalk: Curb side : Cutout,25,Width 0ft,37.77550264,-122.4257542
127778,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1459 Hyde St,Sidewalk: Curb side : Cutout,19,Width 5ft,37.79443545,-122.4181788
9930,Acacia melanoxylon :: Blackwood Acacia,2336 Gough St,Sidewalk: Curb side : Cutout,17,3X3,37.79500874,-122.4265647
2943,Platanus x hispanica :: Sycamore: London Plane,1946 California St,Sidewalk: Curb side : Cutout,75,4X4,37.78993457,-122.4264618
14830,Pittosporum undulatum :: Victorian Box,1284 McAllister St,Sidewalk: Curb side : Cutout,12,6x6,37.77852424,-122.4330291
7169,Ficus retusa nitida :: Banyan Fig,801 Fillmore St,Sidewalk: Curb side : Cutout,12,3x3,37.7770418,-122.4315221
251504,Pinus radiata :: Monterey Pine,620x Noriega St,Median : Cutout,,3x3,37.75559886,-122.470546
5208,Pittosporum undulatum :: Victorian Box,802 Divisadero St,Sidewalk: Curb side : Cutout,12,2X3,37.77712507,-122.4381113
